,Name,Latitude,Longitude,Elevation
52,Italian Mountain,38.9446,-106.7529,4078.0
53,UN 13377,38.0718,-107.5151,4077.0
54,Lakes Peak,38.1996,-105.7271,4077.0
55,UN 13374,38.9368,-106.2885,4076.0
56,Twin Sisters West,37.7674,-107.7918,4076.0
57,UN 13373,39.4571,-106.4713,4076.0
58,"Guyot, Mount",39.4585,-105.9382,4075.0
59,Buckskin Benchmark,39.1135,-106.9907,4075.0
60,Dome Mountain,37.8607,-107.5999,4075.0
61,Monumental Peak,38.5926,-106.3582,4075.0
62,Sultan Mountain,37.7860,-107.7038,4075.0
63,"""Little Pikes""",38.8499,-105.0596,4073.0
64,De Anza Peak,38.1671,-105.6868,4073.0
65,Pearl Mountain,38.9807,-106.8340,4073.0
66,Engelmann Peak,39.7457,-105.8007,4073.0
67,"""T 7""",37.9340,-107.7229,4072.0
68,"""Mount Silverthorne""",39.6543,-106.1893,4071.0
69,Hoosier Ridge,39.3857,-106.0151,4070.0
70,Hermit Peak,38.0912,-105.6549,4069.0
71,Malemute Peak,39.0204,-106.8440,4068.0
72,Peerless Mountain,39.1979,-106.1790,4068.0
73,"""Finnegan Peak""",39.4974,-106.5926,4068.0
74,"""Tincup Peak""",38.7179,-106.4229,4068.0
75,UN 13342,37.7018,-107.4810,4067.0
76,Beattie Peak,37.7901,-107.8249,4067.0
77,"Herard, Mount",37.8488,-105.4957,4066.0
78,UN 13340,38.0985,-107.4957,4066.0
79,"Owen, Mount",38.1390,-105.7138,4066.0
80,UN 13340,37.5796,-107.4790,4066.0
81,Ships Prow,40.2529,-105.6071,4066.0
82,Glacier Ridge,40.2529,-105.6071,4066.0
83,Brown Mountain,37.9210,-107.6379,4066.0
84,Kendall Mountain,37.7938,-107.6288,4065.0
85,UN 13336,39.1229,-106.9740,4065.0
86,"Maxwell, Mount",37.2493,-105.1535,4065.0
87,Coney Benchmark,37.8607,-107.3468,4064.0
88,Venable Peak,38.0551,-105.6296,4064.0
89,De Anza Peak,37.2243,-105.1590,4064.0
90,Twin Peaks,39.0426,-106.4251,4064.0
91,"""East Thorn""",39.6537,-106.1804,4064.0
92,"""Proposal Peak""",37.8826,-107.6243,4063.0
93,Cinnamon Mountain,37.9299,-107.5460,4062.0
94,McHenrys Peak,40.2629,-105.6574,4062.0
95,West Buffalo Peak,38.9924,-106.1240,4062.0
96,Storm Peak,40.2657,-105.6204,4062.0
97,"""East Storm""",37.8607,-107.6390,4061.0
98,"""Lake Fork Peak""",38.9985,-106.5540,4061.0
99,Leahy Peak,39.0421,-106.8382,4061.0
100,Sunshine Mountain,37.9957,-107.5090,4060.0
101,Trico Peak,37.9054,-107.7382,4060.0
102,Palmyra Peak,37.8837,-107.8293,4060.0
103,UN 13317,38.7376,-106.3054,4059.0
104,"""T 8""",37.9418,-107.7160,4058.0
105,"""Baldy no es Cinco""",37.9568,-107.1149,4058.0
106,William Benchmark,39.1676,-106.6326,4057.0
107,"""Booby Prize""",38.9910,-106.5954,4057.0
108,"""C.T. Peak""",37.9665,-107.4704,4057.0
109,"""West Pearl Mountain""",38.9857,-106.8440,4057.0
110,"Alice, Mount",40.2393,-105.6637,4057.0
111,Aztec Mountain,37.5918,-107.6160,4057.0
112,UN 13310,37.5851,-107.4876,4057.0
113,Emery Peak,37.8882,-107.6213,4057.0
114,"""V 2""",37.8218,-107.7940,4057.0
115,Echo Mountain,37.5915,-107.5710,4057.0
116,UN 13308,37.7026,-107.4943,4056.0
117,"Warren, Mount",39.6054,-105.6335,4056.0
118,UN 13302,37.6260,-107.5135,4054.0
119,Geissler Mountain West,39.1451,-106.5829,4054.0
120,Summit Peak,37.3507,-106.6968,4054.0
121,Middle Peak,37.8554,-108.1124,4054.0
122,"Daly, Mount",39.1721,-107.0688,4054.0
123,UN 13300,37.9535,-106.9426,4054.0
124,UN 13300,39.1671,-106.5349,4054.0
125,UN 13300,37.6254,-107.5032,4054.0
126,"""Tellurium Peak""",39.0443,-106.6554,4054.0
127,East Buffalo Peak,38.9868,-106.1093,4054.0
128,UN 13300,38.0574,-107.5229,4054.0
129,Galena Mountain,37.8282,-107.5604,4054.0
130,"""El Punto""",38.0899,-107.4996,4054.0
131,"""V 8""",37.7843,-107.8329,4054.0
132,"""Middle Point""",37.8590,-107.7646,4054.0
133,UN 13300,39.0354,-106.5026,4054.0
134,UN 13300,37.8304,-107.7929,4054.0
135,"""Tigger Peak""",38.7412,-106.2257,4054.0
136,UN 13295,38.9807,-106.5285,4052.0
137,James Peak,39.8521,-105.6904,4052.0
138,"""The Citadel""",39.7154,-105.9118,4052.0
139,Electric Peak,37.6990,-107.6171,4051.0
140,Sheep Mountain,37.7835,-107.5182,4051.0
141,Waverly Mountain,38.9763,-106.3240,4051.0
142,Dolores Peak,37.8401,-108.0963,4051.0
143,Bonita Peak,37.8971,-107.6240,4050.0
144,�Wayah Peak�,39.2051,-106.5293,4049.0
145,Peak Five,37.6568,-107.5963,4049.0
146,Truro Peak,39.0460,-106.6318,4048.0
147,"""Tabor Peak""",39.0601,-106.6607,4048.0
148,Grizzly Peak,38.9421,-106.5224,4048.0
149,"Lady Washington, Mount",40.2635,-105.6071,4048.0
150,UN 13278,37.6876,-107.3749,4047.0
151,Comanche Peak,38.0426,-105.6149,4047.0
152,Ruby Mountain,39.6165,-105.8143,4047.0
153,Kiowa Peak,40.0479,-105.6243,4047.0
154,Whitney Peak,39.4326,-106.4693,4047.0
155,Mendota Peak,37.9610,-107.7788,4046.0
156,Seigal Mountain,37.9571,-107.5638,4046.0
157,"""Crestolita""",37.9549,-105.5757,4045.0
158,Twin Peaks Northeast,39.0426,-106.4251,4045.0
159,Pecks Peak,38.9751,-106.3618,4045.0
160,Antora Peak,38.3251,-106.2185,4044.0
161,Wildhorse Peak,38.0137,-107.5774,4043.0
162,Geneva Peak,39.5543,-105.8240,4043.0
163,Marble Mountain,37.9551,-105.5332,4043.0
164,Knife Point,37.6390,-107.5949,4043.0
165,The Heisspitz,37.6646,-107.6224,4042.0
166,UN 13261,37.6968,-107.3688,4042.0
167,"""Peak G""",39.7315,-106.3204,4042.0
168,Darley Mountain,37.9829,-107.5882,4042.0
169,UN 13260,39.0051,-106.9663,4042.0
170,UN 13260,37.8754,-107.3360,4042.0
171,"""V 9""",37.7743,-107.8407,4042.0
172,Whitehead Peak,37.7601,-107.6068,4041.0
173,Broken Hill,38.0432,-107.4718,4040.0
174,"""Sheep Rock Mountain""",38.9540,-106.4971,4040.0
175,Henry Mountain,38.6857,-106.6218,4040.0
176,"""Van Wit""",38.5990,-106.3596,4040.0
177,UN 13253,38.9296,-106.4907,4040.0
178,13253 South,38.9260,-106.4893,4040.0
179,"""S 8""",38.0146,-107.8910,4039.0
180,"Bancroft, Mount",39.8374,-105.7007,4039.0
181,UN 13248,39.4643,-106.4624,4038.0
182,"""Peak Z""",39.7140,-106.2499,4037.0
183,Spring Mountain,38.0532,-105.6179,4037.0
184,UN 13244,39.1385,-106.9679,4037.0
185,"""S 4""",38.0071,-107.8318,4036.0
186,"""Fortress Peak""",38.0979,-107.5310,4036.0
187,Landslide Peak,39.5524,-105.8157,4035.0
188,Notch Mountain,39.4774,-106.4607,4035.0
189,UN 13235,38.9368,-106.5043,4034.0
190,"Sniktau, Mount",39.6785,-105.8576,4034.0
191,Turner Peak,38.8199,-106.3788,4033.0
192,Belleview Mountain,39.0446,-106.9985,4033.0
193,Hesperus Mountain,37.4451,-108.0890,4033.0
194,UN 13232,39.0079,-106.9607,4033.0
195,UN 13232,38.9862,-106.5074,4033.0
196,UN 13230,37.6751,-107.4979,4033.0
197,"""Peak Q""",39.7190,-106.2868,4033.0
198,UN 13230,39.1949,-106.5315,4033.0
199,"""Peak F""",39.7332,-106.3254,4033.0
200,Red Mountain,39.3943,-106.0224,4032.0
201,UN 13229,37.1462,-105.1843,4032.0
202,Peak Eight,37.6712,-107.5671,4032.0
203,"Audubon, Mount",40.0990,-105.6162,4030.0
204,UN 13222,37.6182,-107.4918,4030.0
205,UN 13222,38.1057,-107.4899,4030.0
206,Macomber Peak,37.8476,-107.6218,4030.0
207,"""Weminuche Peak""",37.6104,-107.4599,4029.0
208,"""Peak C""",39.7499,-106.3365,4029.0
209,Lavender Peak,37.7846,-107.5038,4029.0
210,"""S 7""",38.0079,-107.8804,4029.0
211,Greenhalgh Mountain,37.4415,-108.0810,4029.0
212,Hagar Mountain,39.7101,-105.9210,4029.0
213,Ellingwood Ridge,39.0515,-106.4685,4029.0
214,California Mountain,37.9157,-107.6063,4029.0
215,King Solomon Mountain,37.8079,-107.5940,4029.0
216,"""Peak E""",39.7376,-106.3282,4029.0
217,Little Finger,37.6282,-107.6324,4029.0
218,Keyboard of the Winds,40.2526,-105.6240,4029.0
219,Jones Mountain,38.7732,-106.3940,4029.0
220,Irving Peak,37.5949,-107.5096,4029.0
221,Engineer Mountain,37.9704,-107.5882,4029.0
222,UN 13216,39.0021,-106.9101,4028.0
223,"""Hassell Peak""",39.7421,-105.8826,4028.0
224,Red Peak,39.3912,-106.0046,4028.0
225,Fairview Peak,38.6832,-106.5368,4028.0
226,"""Peak L""",39.7421,-106.2796,4027.0
227,Thirsty Peak,38.2093,-105.7365,4027.0
228,Campbell Peak,37.9871,-107.8551,4027.0
229,UN 13212,39.2149,-106.5282,4027.0
230,Homestake Peak,39.3676,-106.4146,4026.0
231,Gladstone Ridge,38.7824,-106.3479,4026.0
232,Lambertson Peak,38.9518,-106.7557,4026.0
233,Teocalli Mountain,38.9607,-106.8843,4026.0
234,Powell Peak,40.2662,-105.6649,4026.0
235,Hayden Mountain South,37.9546,-107.7024,4025.0
236,UN 13206,38.0743,-107.5249,4025.0
237,Jacque Peak,39.4549,-106.1971,4025.0
238,Eagle Peak,38.2293,-105.7224,4025.0
239,"Nebo, Mount",37.6762,-107.5085,4025.0
240,Lenawee Mountain,39.6299,-105.8551,4025.0
241,Bennett Peak,37.4835,-106.4343,4024.0
242,Tuttle Mountain,37.9340,-107.6129,4024.0
243,UN 13203,39.1737,-106.6157,4024.0
244,"""Leaning South Peak""",37.2746,-105.1593,4024.0
245,UN 13202,39.1615,-106.5515,4024.0
246,UN 13201,38.0390,-107.5251,4024.0
247,"""Mountain Boy Peak""",39.0796,-106.5768,4023.0
248,Peak 9,39.4518,-106.1054,4022.0
249,London Mountain,39.2843,-106.1582,4022.0
250,"""Fancy Peak""",39.4187,-106.5054,4021.0
251,"Moss, Mount",37.4390,-108.0782,4021.0
252,Red Peak,39.6365,-106.1710,4020.0
253,Sheep Mountain,37.7854,-107.8860,4020.0
254,"Valois, Mount",37.5740,-107.5846,4019.0
255,Beaubien Peak,37.1968,-105.1663,4018.0
256,Rowe Mountain,40.4968,-105.6482,4018.0
257,Bullion Mountain,37.5846,-107.6040,4018.0
258,"""Mount Valhalla""",39.6615,-106.2185,4017.0
259,Babcock Peak,37.4296,-108.0793,4017.0
260,UN 13180,37.9965,-107.3957,4017.0
261,Santa Fe Peak,39.5688,-105.8371,4017.0
262,Grand Turk,37.7774,-107.6990,4017.0
263,UN 13180,39.0415,-106.9640,4017.0
264,UN 13180,37.9562,-106.9374,4017.0
265,"""Southwest Lenawee""",39.6254,-105.8607,4017.0
266,Point Pun,37.6868,-107.6285,4017.0
267,Yellow Mountain South,37.8185,-107.8343,4016.0
268,Copeland Mountain,40.1821,-105.6465,4016.0
269,Conejos Peak,37.2887,-106.5710,4015.0
270,UN 13169,37.6590,-107.4893,4014.0
271,Sheep Mountain,38.1590,-107.4660,4014.0
272,Amherst Mountain,37.5657,-107.5596,4013.0
273,"""Stony Pass Peak""",37.7907,-107.5529,4013.0
274,Kelso Mountain,39.6590,-105.8004,4012.0
275,UN 13164,37.8474,-107.4754,4012.0
276,"Helen, Mount",39.4285,-106.0874,4012.0
277,UN 13162,37.9537,-107.0793,4012.0
278,UN 13162,38.9899,-106.8929,4012.0
279,UN 13159,37.8615,-107.7560,4011.0
280,Twilight Peak,37.6638,-107.7271,4011.0
281,UN 13158,38.0543,-107.4385,4011.0
282,"""Window Peak""",37.6660,-107.3943,4010.0
283,"""V 5""",37.8263,-107.7701,4010.0
284,UN 13155,37.9674,-106.9201,4010.0
285,Baldy Mountain,39.1479,-106.9663,4010.0
286,"""Medano Peak""",37.8615,-105.4926,4009.0
287,Taylor Peak,40.2746,-105.6807,4009.0
288,UN 13153,38.0138,-105.6151,4009.0
289,Pomeroy Mountain,38.6274,-106.3415,4008.0
290,Montezuma Peak,37.3732,-106.6915,4008.0
291,Arikaree Peak,40.0468,-105.6385,4008.0
292,South River Peak,37.5740,-106.9815,4008.0
293,UN 13147,38.6046,-106.3376,4007.0
294,"Flora, Mount",39.8076,-105.7354,4007.0
295,UN 13145,37.9054,-107.7890,4007.0
296,UN 13145,39.1876,-106.5335,4007.0
297,Precipice Peak,38.1193,-107.5351,4006.0
298,Little Horn Peak,38.0251,-105.5840,4006.0
299,Willoughby Mountain,39.1426,-106.9951,4006.0
300,UN 13140,38.9551,-106.5265,4005.0
301,"""West Virginia""",38.9629,-106.4971,4005.0
302,Peak Twelve,37.6326,-107.6188,4005.0
303,"""West Truro""",39.0443,-106.6399,4005.0
304,UN 13140,37.8840,-107.3243,4005.0
305,Emerson Mountain,37.5571,-107.5651,4005.0
306,UN 13140,37.6112,-107.4663,4005.0
307,Guyselman Mountain,39.7507,-106.2757,4005.0
308,Robeson Peak,39.7335,-105.8065,4005.0
309,"""Dicker's Peck""",40.0535,-105.6471,4005.0
310,Savage Peak,39.3804,-106.5201,4005.0
311,Hayden Mountain North,37.9682,-107.6896,4005.0
312,Ogalalla Peak,40.1701,-105.6668,4004.0
313,Hunchback Mountain,37.7054,-107.5315,4004.0
314,Francisco Peak,37.1824,-105.1660,4004.0
315,"""S 9""",38.0251,-107.8913,4003.0
316,Sullivan Mountain,39.5629,-105.8288,4003.0
317,UN 13132,37.9932,-107.5974,4003.0
318,Sewanee Peak,38.6112,-106.3440,4003.0
319,"Eva, Mount",39.8276,-105.7188,4002.0
320,UN 13130,39.0310,-106.9676,4002.0
321,"""Rain Peak""",39.6612,-106.1835,4002.0
322,Black Benchmark,39.7287,-106.3187,4002.0
323,Lomo Liso Mountain,37.1718,-105.1738,4001.0
324,"""Pika Peak""",39.4685,-106.5918,4001.0
325,"Kennedy, Mount",37.5890,-107.6268,4001.0
326,UN 13123,37.8554,-108.0313,4000.0
327,UN 13123,38.2146,-105.7449,4000.0
328,Spiller Peak,37.4279,-108.0871,4000.0
329,Peters Peak,37.6160,-107.4854,4000.0
330,UN 13122,38.1168,-105.7065,4000.0
331,"""Peak N""",39.7593,-106.2737,3999.0
332,UN 13121,37.6218,-107.5635,3999.0
333,Isolation Peak,40.2024,-105.6779,3998.0
334,"""Cupid""",39.6576,-105.8568,3998.0
335,Lizard Head,37.8360,-107.9507,3997.0
336,Fitzpatrick Peak,38.6985,-106.4518,3997.0
337,UN 13111,37.9693,-106.9871,3996.0
338,Cow Benchmark,38.0199,-107.6210,3996.0
339,"""Hancock Peak""",38.6171,-106.3668,3996.0
340,UN 13110,37.6874,-107.5032,3996.0
341,UN 13109,37.7587,-107.6182,3996.0
342,UN 13108,39.1915,-106.6060,3995.0
343,Thunder Mountain,37.6046,-107.5607,3995.0
344,UN 13106,38.0712,-107.4210,3995.0
345,Bushnell Peak,38.3413,-105.8893,3994.0
346,UN 13105,37.5521,-107.5574,3994.0
347,UN 13100,39.4407,-106.5776,3993.0
348,Middle Mountain,39.0129,-106.5757,3993.0
349,UN 13100,38.1460,-107.4674,3993.0
350,"""Baldy Lejos""",37.9943,-107.0010,3993.0
351,"""Corbett Peak""",38.0271,-107.7338,3993.0
352,UN 13100,37.5746,-105.5129,3993.0
353,South Twilight Peak,37.6593,-107.7235,3993.0
354,"""Peak H""",39.7268,-106.3151,3993.0
355,"""Leaning North Peak""",37.2821,-105.1596,3993.0
356,"""Gore Thumb""",39.7468,-106.2763,3993.0
357,"""C Prime""",39.7490,-106.3354,3993.0
358,Ceresco Ridge,39.3618,-106.1604,3993.0
359,"Kreutzer, Mount",38.7568,-106.4157,3991.0
360,"""Tomboy Peak""",37.9474,-107.7518,3991.0
361,UN 13093,37.9926,-107.5343,3991.0
362,UN 13091,38.0729,-107.3874,3990.0
363,"""Mount Solitude""",39.6860,-106.2613,3990.0
364,UN 13090,39.0604,-106.6371,3990.0
365,Paiute Peak,40.0982,-105.6332,3989.0
366,Virginia Peak,38.9651,-106.4832,3989.0
367,Spencer Peak,37.7721,-107.7029,3989.0
368,Keller Mountain,39.6901,-106.2315,3988.0
369,"""Ribbed Peak""",39.4326,-106.5632,3988.0
370,"""Peak X""",39.7054,-106.2601,3988.0
371,Boreas Mountain,39.4060,-105.9488,3987.0
372,"""Huerfanito""",37.5846,-105.4640,3987.0
373,"""North Traverse Peak""",39.6710,-106.2393,3986.0
374,Whale Peak,39.4943,-105.8662,3986.0
375,UN 13078,38.7393,-106.3321,3986.0
376,Snowdon Peak,37.7079,-107.6888,3986.0
377,Winfield Peak,38.9760,-106.4815,3986.0
378,Florida Mountain,37.5821,-107.5940,3986.0
379,UN 13075,37.9043,-107.5929,3985.0
380,North Twilight Peak,37.6693,-107.7282,3985.0
381,"""West Tellurium""",39.0460,-106.6735,3985.0
382,"Garfield, Mount",37.6949,-107.6365,3985.0
383,Blackwall Mountain,38.0287,-107.5649,3985.0
384,Hunts Peak,38.3829,-105.9454,3984.0
385,Sheep Mountain,37.5465,-107.5579,3984.0
386,UN 13070,38.6329,-106.3332,3984.0
387,"""Devils Playground Peak""",38.8643,-105.0707,3984.0
388,UN 13069,37.8299,-107.5296,3983.0
389,"Chiquita, Mount",40.4437,-105.6888,3983.0
390,Kendall Benchmark,37.7943,-107.6424,3983.0
391,UN 13062,38.0949,-105.6896,3981.0
392,UN 13062,39.0932,-107.0301,3981.0
393,West Needle Mountain,37.6493,-107.7215,3981.0
394,Centennial Peak,37.4471,-108.0771,3981.0
395,UN 13060,38.0890,-105.6896,3981.0
396,UN 13060,39.1493,-107.0515,3981.0
397,UN 13060,37.6099,-107.4854,3981.0
398,"""Igloo Peak""",39.0837,-106.5846,3981.0
399,Saint Sophia Ridge,37.9688,-107.7846,3981.0
400,Silver Mesa,37.5821,-107.6010,3981.0
401,Middle Mountain,38.9682,-106.4304,3981.0
402,"""Palomino Point""",39.6632,-106.2199,3981.0
403,"Owen, Mount",38.9090,-107.1251,3980.0
404,"""East Partner Peak""",39.6993,-106.2774,3980.0
405,"""Chalk Rock Mountain""",38.7796,-106.4140,3979.0
406,UN 13054,38.0599,-105.6590,3979.0
407,Houghton Mountain,37.9407,-107.5863,3978.0
408,UN 13051,38.1060,-107.4299,3978.0
409,UN 13050,38.7132,-106.3965,3978.0
410,"""Dead Man Peak""",37.9074,-105.5590,3978.0
411,Green Mountain,37.7949,-107.5621,3977.0
412,West Dyer Mountain,39.2437,-106.1951,3977.0
413,"""Peak D""",39.7426,-106.3315,3977.0
414,"""South Snowdon""",37.6987,-107.6921,3976.0
415,Eagle Peak,39.4454,-106.5813,3976.0
416,UN 13042,37.7815,-107.7499,3975.0
417,"""West Partner Peak""",39.7060,-106.2918,3975.0
418,"""Grand Traverse Peak""",39.6624,-106.2346,3975.0
419,Wolcott Mountain,38.0162,-107.8474,3975.0
420,UN 13039,39.0968,-106.9949,3974.0
421,"""Old Baldy""",40.0171,-105.6385,3974.0
422,United States Mountain,37.9565,-107.7390,3973.0
423,West Elk Peak,38.7182,-107.1996,3973.0
424,UN 13034,37.9468,-107.0085,3973.0
425,UN 13033,39.1476,-106.6418,3972.0
426,Organ Mountain,37.5679,-107.5538,3972.0
427,UN 13028,38.0810,-105.6807,3971.0
428,UN 13026,39.1851,-106.5585,3970.0
429,"""Snow Peak""",39.6493,-106.2188,3970.0
430,Van Wirt Mountain,38.6060,-106.3649,3970.0
431,Niwot Ridge,40.0554,-105.6351,3969.0
432,"""The Unicorn""",37.3665,-106.6993,3968.0
433,"""S 10""",38.0271,-107.9063,3968.0
434,UN 13020,37.9418,-105.5707,3968.0
435,UN 13020,39.1182,-106.9813,3968.0
436,UN 13020,37.9665,-107.0535,3968.0
437,"""North Irving""",37.6001,-107.5104,3968.0
438,UN 13020,37.9829,-106.9993,3968.0
439,Cuba Benchmark,37.8415,-107.5224,3968.0
440,UN 13017,37.6518,-107.3954,3968.0
441,UN 13016,38.1246,-107.4146,3967.0
442,UN 13015,37.9685,-106.8657,3967.0
443,Chief Mountain,37.6368,-107.2096,3967.0
444,Twin Sisters North,38.3524,-105.9018,3966.0
445,Hope Mountain,37.5999,-107.5913,3966.0
446,UN 13010,37.6062,-107.2451,3965.0
447,"""Golden Bear Peak""",39.6937,-105.9201,3965.0
448,Pennsylvania Mountain,39.2651,-106.1424,3964.0
449,"""Climber's Point""",39.6799,-106.2582,3964.0
450,UN 13003,39.2124,-106.5679,3963.0
451,Ruffner Mountain,38.0054,-107.8863,3963.0
452,UN 13001,39.1637,-106.5676,3963.0
453,Overlook Point,37.5838,-107.6763,3962.0
454,Greenback Mountain,37.9688,-107.7951,3961.0
455,"""Peak R""",39.7215,-106.2779,3961.0
456,Jones Mountain North,38.7904,-106.3893,3961.0
457,Red Mountain,38.3676,-105.9204,3961.0
458,UN 12990,39.1868,-106.6438,3959.0
459,UN 12990,37.8499,-107.4946,3959.0
460,Mesa Lato,37.6001,-107.3999,3959.0
461,Peak 8,39.4729,-106.1024,3958.0
462,Bear Mountain,37.7946,-107.7329,3958.0
463,Hayden Peak,38.0307,-107.9093,3958.0
464,"""U 4""",38.0871,-107.5596,3958.0
465,Square Top Mountain,38.6796,-106.6110,3958.0
466,Middle Mountain,37.8479,-107.5451,3958.0
467,Little Baldy Mountain,38.0032,-105.5851,3957.0
468,Mesa Mountain,37.9049,-106.6354,3956.0
469,UN 12980,39.4026,-106.5610,3956.0
470,"""Reconnoiter Peak""",38.0201,-107.7629,3956.0
471,"""Skiers Point""",39.6760,-106.2596,3956.0
472,"""Bloodshaw Mountain""",39.7279,-106.2363,3956.0
473,"""Peak Y""",39.7093,-106.2582,3956.0
474,"""Z Prime""",39.7101,-106.2454,3956.0
475,"Toll, Mount",40.0885,-105.6337,3956.0
476,UN 12977,39.3996,-106.5468,3955.0
477,UN 12975,38.0287,-107.5368,3955.0
478,"""Hammer Peak""",39.3988,-106.5554,3954.0
479,Vulcan Mountain,38.5771,-106.3518,3954.0
480,Engineer Mountain,37.6993,-107.8068,3953.0
481,"""Dragons Back""",38.0187,-107.5635,3953.0
482,Hossick Benchmark,37.5987,-107.2368,3952.0
483,Shoshoni Peak,40.0671,-105.6388,3952.0
484,"""Mount Lobo""",37.6062,-107.4524,3952.0
485,"""Peak P""",39.7165,-106.2951,3952.0
486,West Sheridan,39.2168,-106.2021,3951.0
487,UN 12961,37.6032,-107.4649,3951.0
488,UN 12959,39.6190,-105.6918,3950.0
489,Purple Mountain,38.9913,-107.1032,3950.0
490,UN 12956,38.8385,-106.3704,3949.0
491,Ouray Peak,39.0543,-106.5649,3949.0
492,UN 12955,38.8549,-106.3493,3949.0
493,UN 12955,37.3024,-105.1643,3949.0
494,"""Whiskey Pass Peak""",37.2071,-105.1671,3949.0
495,Clover Mountain,38.5682,-106.3449,3949.0
496,UN 12954,38.6512,-106.4296,3948.0
497,"Sopris, Mount",39.2612,-107.1649,3948.0
498,West Sopris Benchmark,39.2632,-107.1760,3948.0
499,UN 12953,37.7185,-107.4293,3948.0
500,UN 12952,37.9526,-107.0313,3948.0
501,Clark Peak,40.6068,-105.9299,3947.0
502,East Desolation Peak,40.4724,-105.6915,3947.0
503,Calico Mountain,38.6199,-106.3126,3947.0
504,Bullion Benchmark,39.5046,-105.8538,3947.0
505,Vasquez Peak,39.7962,-105.8549,3946.0
506,Fools Peak,39.4510,-106.5993,3946.0
507,East Ball Mountain,39.2387,-106.2021,3946.0
508,"""Ooh La La!""",40.1612,-105.6674,3946.0
509,�Pink Peak�,39.6390,-106.1613,3946.0
510,Pawnee Peak,40.0815,-105.6326,3945.0
511,UN 12942,39.1004,-106.9749,3945.0
512,"""Peak J""",39.7207,-106.2982,3945.0
513,Star Mountain,39.0615,-106.5332,3944.0
514,"Richthofen, Mount",40.4696,-105.8943,3944.0
515,UN 12940,39.4026,-106.5063,3944.0
516,UN 12940,37.6207,-107.2593,3944.0
517,Woods Mountain,39.7304,-105.8399,3944.0
518,UN 12940,39.4579,-106.5810,3944.0
519,"""Peak K""",39.7296,-106.2924,3944.0
520,UN 12940,39.1043,-106.9749,3944.0
521,"""Peak O""",39.7635,-106.2740,3944.0
522,UN 12936,37.7404,-107.6160,3943.0
523,UN 12935,39.4201,-106.5504,3943.0
524,Little Bartlett Mountain,39.3860,-106.1613,3943.0
525,Difficult Benchmark,39.0782,-106.6985,3942.0
526,UN 12934,38.9937,-106.5663,3942.0
527,UN 12934,38.9696,-106.8843,3942.0
528,Tenmile Peak,39.5360,-106.1210,3942.0
529,Yellow Mountain North,37.8351,-107.8493,3942.0
